,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
77,2017-01-26,99.9,625850.19,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
78,2017-01-27,99.9,602913.57,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
79,2017-01-27,99.85,72880.93,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
80,2017-01-27,99.9,5236.58,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
81,2017-01-28,99.85,2363.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
82,2017-01-28,99.85,56633.5,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
83,2017-01-28,99.9,463562.88,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
84,2017-01-29,99.9,389137.38,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
85,2017-01-29,99.85,50335.84,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
86,2017-01-29,99.8,2336.38,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
87,2017-01-30,99.8,51490.36,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
88,2017-01-30,99.75,4764.66,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
89,2017-01-30,99.9,325281.35,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
90,2017-01-31,99.9,340689.19,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
91,2017-01-31,99.8,52941.6,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
92,2017-01-31,99.65,4740.4,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
93,2017-02-01,99.85,55863.68,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
94,2017-02-01,100.0,4952.5,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
95,2017-02-01,99.9,391093.14,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
96,2017-02-02,99.9,392948.3,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
97,2017-02-02,99.75,55360.42,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
98,2017-02-02,100.0,4768.88,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
99,2017-02-03,99.85,50568.06,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
100,2017-02-03,100.0,3621.34,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
101,2017-02-03,99.9,309952.96,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
102,2017-02-04,99.9,328080.63,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
103,2017-02-04,100.0,1929.92,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
104,2017-02-04,99.9,47583.57,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
105,2017-02-05,99.75,49674.07,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
106,2017-02-05,99.75,2396.34,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
107,2017-02-05,99.9,456863.42,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
108,2017-02-06,99.9,414441.64,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
109,2017-02-06,100.0,4923.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
110,2017-02-06,99.75,54476.09,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
111,2017-02-07,100.0,4550.86,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
112,2017-02-07,99.75,45434.65,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
113,2017-02-07,99.9,263277.16,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
114,2017-02-08,99.85,219187.27,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
115,2017-02-08,99.75,4326.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
116,2017-02-08,99.6,42580.69,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
117,2017-02-09,99.75,40559.69,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
118,2017-02-09,99.95,4024.46,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
119,2017-02-09,99.9,195008.11,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
120,2017-02-10,99.9,215284.21,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
121,2017-02-10,100.0,3515.54,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
122,2017-02-10,99.8,43710.92,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
123,2017-02-11,99.9,2121.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
124,2017-02-11,99.85,46310.94,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
125,2017-02-11,99.9,306894.58,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
126,2017-02-12,99.9,316693.08,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
127,2017-02-12,99.95,2081.08,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
128,2017-02-12,99.85,45054.96,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
129,2017-02-13,99.8,46007.97,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
130,2017-02-13,100.0,4126.38,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
131,2017-02-13,99.9,259778.16,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
132,2017-02-14,99.9,251670.52,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
133,2017-02-14,99.8,47596.99,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
134,2017-02-14,100.0,4052.74,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
135,2017-02-15,99.85,45376.93,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
136,2017-02-15,100.0,4275.28,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
137,2017-02-15,99.9,241011.66,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
